Data;MMM;T;ADBE;BAC;CVX;HLT;SBUX
2021-05-27;203.240005;22.439577;498.279999;42.549999;103.010002;126.269997;113.510002
2021-05-28;203.039993;22.228098;504.579987;42.389999;103.790001;125.269997;113.879997
2021-06-01;203.199997;22.145016;495.910004;42.919998;106.650002;126.610001;113.339996
2021-06-02;203.289993;22.364048;495.769989;42.939999;108.080002;125.169998;113
2021-06-03;203.669998;22.07704;493.140015;43.25;107.589996;123.129997;111.120003
2021-06-04;206.050003;22.10725;504.5;43.27;108.449997;124.75;111.989998
2021-06-07;203.729996;21.963745;509.470001;43.119999;107.75;124.900002;111.330002
2021-06-08;203.589996;21.888218;509.200012;42.880001;108.730003;127.839996;111.519997
2021-06-09;202.740005;21.910875;514.679993;42.32;107.779999;126.449997;111.389999
2021-06-10;203.130005;22.039274;535.52002;41.689999;108.410004;126.589996;112.209999
2021-06-11;202.809998;22.145016;541.26001;41.860001;107.910004;128.610001;112.559998
2021-06-14;201.360001;21.971298;556.950012;41.360001;107.970001;128.610001;112.449997
2021-06-15;200.610001;22.114803;548.460022;41.389999;110.300003;129.25;111.889999
2021-06-16;196.910004;21.948641;543.330017;41.619999;109.669998;126.93;111.360001
2021-06-17;195.139999;21.706949;551.359985;39.799999;107.07;126.239998;111.389999
2021-06-18;191.600006;21.638973;565.590027;38.779999;103.029999;123.720001;109.699997
2021-06-21;195.210007;21.850452;567.349976;39.75;106.050003;126.739998;110.970001
2021-06-22;195.139999;21.73716;575.73999;39.970001;106.400002;126.099998;111.849998
2021-06-23;192.360001;21.638973;574.22998;40.200001;106.269997;125.68;111.559998
2021-06-24;193.259995;21.744713;578.26001;40.830002;107.139999;124.510002;111.989998
2021-06-25;194.75;21.820242;579.659973;41.619999;107.300003;124.480003;113.040001
2021-06-28;196.5;21.73716;588.799988;41.560001;103.989998;120.720001;112.239998
2021-06-29;196.029999;21.646526;590.75;40.889999;103.760002;118.949997;112.269997
2021-06-30;198.630005;21.73716;585.640015;41.23;104.739998;120.620003;111.809998
2021-07-01;199.089996;21.986404;584.72998;41.540001;106.209999;123.620003;113.410004
2021-07-02;199.889999;22.07704;593.070007;41.150002;106.07;126.809998;114.970001
2021-07-06;196.889999;21.918428;596.900024;40.07;103.989998;125.830002;115.730003
2021-07-07;199.860001;21.850452;605.77002;39.75;102.93;124.449997;117.139999
2021-07-08;198.270004;21.283989;605.950012;38.779999;102.599998;123.129997;115.989998
2021-07-09;201;21.487915;604.5;40.040001;104.07;126.050003;117.470001
2021-07-12;199.979996;21.510574;600.200012;40.630001;104.279999;125.849998;118.459999
2021-07-13;199.600006;21.351965;605.01001;39.860001;103.93;123.459999;119.550003
2021-07-14;202.830002;21.344412;608.830017;38.860001;101.970001;123.870003;119.800003
2021-07-15;202.589996;21.472811;606.169983;38.830002;101.300003;122.900002;118.970001
2021-07-16;199.369995;21.404835;606.099976;37.919998;98.620003;119.75;118.730003
2021-07-19;197.559998;20.989426;602.049988;36.93;95.959999;117.010002;115.32
2021-07-20;200.820007;21.080059;608.719971;37.689999;96.529999;120.900002;117.419998
2021-07-21;200.770004;21.072508;612.26001;38.459999;99.82;124.93;119.269997
2021-07-22;199.070007;21.155588;623.679993;37.959999;98.82;123.209999;122.629997
2021-07-23;200.490005;21.26133;625.869995;37.700001;98.860001;125.260002;125.970001
2021-07-26;201.669998;21.283989;620.799988;38.130001;100.949997;126.669998;126.059998
2021-07-27;200.470001;21.299093;618.280029;37.98;100.610001;128.5;126.029999
2021-07-28;198.279999;21.155588;620.919983;38.130001;101.18;129.529999;122.410004
2021-07-29;198.169998;21.367069;621.700012;38.68;102.57;134.5;122.379997
2021-07-30;197.940002;21.185801;621.630005;38.360001;101.809998;131.449997;121.43
2021-08-02;197.520004;21.231117;618.75;37.959999;101.629997;127.870003;120.370003
2021-08-03;201.029999;21.29154;621.280029;38.549999;102.599998;126.080002;119.129997
2021-08-04;197.529999;21.034742;625.679993;38.27;100.300003;124.389999;118.25
2021-08-05;197.800003;21.102718;632.080017;39.02;101.230003;126.400002;119.029999
2021-08-06;198.130005;21.117825;631.380005;40.150002;101.949997;126.660004;119.050003
2021-08-09;197.429993;21.034742;629.219971;40.669998;100.25;124.610001;117.940002
2021-08-10;199.25;21.216011;621.73999;41.43;102.080002;126.349998;116.389999
2021-08-11;201.570007;21.268883;626.030029;41.950001;102.849998;125.029999;116.5
2021-08-12;201.429993;21.163141;634.349976;42.150002;102.639999;123.43;115.75
2021-08-13;200.580002;21.29154;637.309998;41.630001;101.959999;122.209999;116.760002
2021-08-16;202.320007;21.299093;636.940002;41.290001;100.919998;121.489998;117.540001
2021-08-17;199.550003;21.29154;635.01001;41.09;100.730003;119.989998;116.57
2021-08-18;196.509995;21.019636;626.77002;40.790001;96.699997;119;115.68
2021-08-19;195.360001;20.793051;637.659973;40.189999;94.290001;119.230003;114.32
2021-08-20;194.160004;20.823263;647.340027;40.369999;94.300003;121.769997;114.629997
2021-08-23;194.679993;20.785498;656.859985;40.91;96.730003;123.029999;115.150002
2021-08-24;194.75;20.732628;657.23999;41.48;97.839996;126.860001;115.080002
2021-08-25;194.339996;20.717524;656.799988;42.150002;98.510002;127.32;115.57
2021-08-26;195.320007;20.407854;652.390015;42.040001;97.220001;125.620003;114.32
2021-08-27;195.050003;20.490936;658.52002;42.490002;98.639999;127.559998;115.120003
2021-08-30;196.169998;20.566465;665.98999;41.66;98.389999;125.720001;115.610001
2021-08-31;194.740005;20.70997;663.700012;41.75;96.769997;124.860001;117.489998
2021-09-01;193.440002;20.536255;665.890015;41.189999;95.709999;125.32;117.449997
2021-09-02;194.889999;20.876133;664.640015;41.02;97.709999;124.389999;117.370003
2021-09-03;194.389999;20.81571;666.590027;41.049999;97.489998;123.080002;117.190002
2021-09-07;185.580002;20.70997;661.390015;41.32;97.059998;123.370003;115.790001
2021-09-08;187.889999;20.845921;663.219971;40.779999;96.389999;122.760002;118.040001
2021-09-09;185.75;20.70997;661.679993;40.93;96;125.75;118.790001
2021-09-10;184.550003;20.528702;658.940002;40.27;96.07;127.400002;119.339996
2021-09-13;185.229996;20.785498;645.150024;40.939999;97.970001;130.210007;119.18
2021-09-14;182.419998;20.641994;645.01001;39.84;96.199997;131.820007;118.860001
2021-09-15;184.190002;20.823263;661.080017;40.139999;98.239998;131.399994;114.639999
2021-09-16;182.660004;20.845921;665.109985;40.450001;97.32;132.020004;114.669998
2021-09-17;181.490005;20.793051;654.47998;40.5;96.760002;131.210007;113.410004
2021-09-20;180.529999;20.551359;641.289978;39.110001;94.779999;128.830002;111.82
2021-09-21;178.419998;20.362537;645.890015;39.130001;94.849998;127.82;112.220001
2021-09-22;179.839996;20.400303;626.080017;40.139999;97.639999;129.190002;113.07
2021-09-23;181.529999;20.536255;630.840027;41.689999;100.059998;134.490005;114.139999
2021-09-24;181.039993;20.490936;622.710022;42.139999;100.599998;135.479996;114.110001
2021-09-27;181.789993;20.694864;603.650024;43.259998;102.970001;138.800003;113.68
2021-09-28;180.050003;20.574018;578.77002;43.16;103.360001;136.550003;111.709999
2021-09-29;180.880005;20.694864;577.700012;43.07;103.330002;135.160004;112.169998
2021-09-30;175.419998;20.400303;575.719971;42.450001;101.449997;132.110001;110.309998
2021-10-01;176.679993;20.513596;577.469971;43.080002;104.330002;138.149994;112.919998
2021-10-04;176.039993;20.581572;558.48999;43.34;104.720001;138.509995;111.459999
2021-10-05;177.880005;20.657101;566.700012;44.220001;105.860001;139.75;110.849998
2021-10-06;178.399994;20.626888;570.309998;44.240002;104.93;139.360001;111.639999
2021-10-07;177.800003;20.460726;578.960022;44.119999;105.68;141.169998;112.209999
2021-10-08;176.949997;20.219032;576.859985;44.34;108.050003;141.509995;111.220001
2021-10-11;176.279999;19.660122;573.070007;43.779999;107.129997;142.850006;110.940002
2021-10-12;175.529999;19.206949;580.690002;43.540001;107.150002;144.699997;111
2021-10-13;177.169998;19.108761;591.119995;43.139999;107.790001;140.830002;110.760002
2021-10-14;180.320007;19.350452;607.51001;45.07;108.809998;141.580002;111.870003
2021-10-15;181.940002;19.410875;610.090027;46.369999;109.610001;144.520004;111.449997
2021-10-18;181.720001;19.13142;622.830017;46.279999;109.559998;144.059998;113.370003
2021-10-19;182.309998;19.327795;636.070007;46.48;111.699997;140.949997;113.489998
2021-10-20;182.419998;19.569487;632.369995;47.09;113.160004;140.240005;113.860001
2021-10-21;182.119995;19.456194;638.659973;46.830002;111.739998;141.5;114.440002
2021-10-22;180.800003;19.252266;643.580017;47.57;112.800003;141.660004;114.550003
2021-10-25;182.399994;19.365559;646.969971;47.509998;113.849998;142.169998;114.709999
2021-10-26;182.160004;19.161631;642.5;47.959999;114.099998;144.449997;114.919998
2021-10-27;178.240005;18.927492;640.080017;47.040001;112.07;147.220001;113.510002
2021-10-28;179.869995;19.297583;639.280029;47.779999;113.120003;146.039993;113.199997
2021-10-29;178.679993;19.07855;650.359985;47.779999;114.489998;143.949997;106.07
2021-11-01;179.580002;19.161631;640.200012;47.849998;114.529999;144.779999;109.800003
2021-11-02;181.970001;19.055891;640.400024;47.880001;113.830002;141.339996;111.449997
2021-11-03;182.229996;19.018127;655.179993;48.369999;113.010002;145.240005;112.610001
2021-11-04;180.610001;18.731117;674.080017;47.330002;113.510002;147.440002;112.160004
2021-11-05;181.800003;18.957705;662.719971;46.970001;114.739998;151.839996;116.910004
2021-11-08;181.539993;18.79154;666.02002;47.34;115.150002;151.169998;115.160004
2021-11-09;181.330002;18.663141;667.919983;46.880001;116;148.460007;114.129997
2021-11-10;182.419998;18.844412;647.5;47.23;114.150002;146.529999;113.25
2021-11-11;180.210007;18.821753;643.169983;47.490002;114.160004;143.580002;111.440002
2021-11-12;183.660004;18.836859;657.599976;46.91;114.230003;143.470001;111.720001
2021-11-15;183.309998;18.731117;659.72998;47.049999;116.82;142.910004;111.870003
2021-11-16;183.369995;18.625378;671.030029;47.080002;117.279999;141.740005;112.230003
2021-11-17;183.339996;18.625378;670.669983;46.509998;115.419998;144.529999;112.519997
2021-11-18;178.770004;18.42145;670.960022;46.32;114.449997;143.589996;112.900002
2021-11-19;179.229996;18.225077;688.369995;45.400002;111.910004;144.369995;110.779999
2021-11-22;179.660004;18.655588;673.570007;46.279999;113.910004;143.869995;111.449997
2021-11-23;179.460007;18.700907;665.159973;47.5;116.300003;145.729996;113.580002
2021-11-24;177.630005;18.481873;668.320007;47.630001;117.190002;145.289993;113.970001
2021-11-26;175.520004;18.293051;662.099976;45.759998;114.510002;136.210007;110.660004
2021-11-29;176.229996;18.043806;687.48999;45.59;114.849998;138.070007;110.730003
2021-11-30;170.039993;17.243202;669.849976;44.470001;112.870003;135.070007;109.639999
2021-12-01;170.729996;16.79003;657.409973;43.84;112.099998;129.960007;108.660004
2021-12-02;170.259995;17.409367;671.880005;44.889999;115.139999;139.589996;111.419998
2021-12-03;172.589996;17.719032;616.530029;43.869999;114.410004;138.740005;111.239998
2021-12-06;177.199997;17.583082;622.039978;44.150002;116.199997;144.309998;113.360001
2021-12-07;176.550003;17.432024;649.960022;44.709999;117.919998;143.149994;116.260002
2021-12-08;176.039993;17.678465;653.099976;44.16;118.449997;144.389999;116.25
2021-12-09;175.940002;17.326284;632.570007;44.490002;118.139999;144.309998;115.349998
2021-12-10;177.100006;17.250755;654.450012;44.52;118.339996;146.130005;116.730003
2021-12-13;174.580002;16.948641;658.299988;43.580002;115.879997;142.410004;115.559998
2021-12-14;174.720001;16.835346;614.859985;44.130001;116.220001;141.979996;114.709999
2021-12-15;175.779999;16.744713;630.330017;43.939999;115.559998;140.289993;114.68
2021-12-16;178.309998;17.907854;566.090027;45;116.639999;139;113.589996
2021-12-17;174.75;17.960726;556.640015;43.880001;113.599998;140.940002;108.629997
2021-12-20;172.639999;18.270393;549.77002;43.16;113.650002;140.369995;108.089996
2021-12-21;172.919998;18.481873;557.52002;44.189999;115.470001;148.550003;110.370003
2021-12-22;172.639999;18.716011;563.97998;44.279999;116.129997;152.740005;111.739998
2021-12-23;174.970001;18.783989;569.619995;44.419998;116.410004;154.710007;112.370003
2021-12-27;176.699997;18.716011;577.679993;44.639999;118.790001;155.289993;114.220001
2021-12-28;177.639999;18.746223;569.359985;44.700001;118.559998;155.020004;115.57
2021-12-29;178.410004;18.610271;569.289978;44.630001;117.949997;155.369995;116.379997
2021-12-30;177.639999;18.716011;570.530029;44.529999;117.43;154.979996;116.239998
2021-12-31;177.630005;18.580059;567.059998;44.490002;117.349998;155.990005;116.970001
2022-01-03;177.740005;19.206949;564.369995;46.18;119.260002;154.479996;116.68
2022-01-04;180.229996;19.365559;554;47.990002;121.43;155.960007;114.239998
2022-01-05;179.490005;19.796074;514.429993;47.18;122.220001;151.800003;110.440002
2022-01-06;178;19.720545;514.119995;48.130001;123.260002;152.179993;111.139999
2022-01-07;179.949997;19.856495;510.700012;49.18;125.029999;152;107.57
2022-01-10;177.410004;19.984894;525.830017;48.93;125.110001;148.610001;106.029999
2022-01-11;178.979996;19.89426;529.890015;49.209999;127.970001;152.5;104.040001
2022-01-12;179.419998;19.977341;532.369995;48.860001;127.330002;150;103.870003
2022-01-13;181.020004;20.241692;516.900024;48.759998;126.800003;149.899994;102.400002
2022-01-14;178.740005;20.528702;520.599976;47.91;128.960007;147.979996;100.120003
2022-01-18;178.279999;20.626888;513.340027;46.259998;129.380005;144.520004;97.730003
2022-01-19;178.479996;20.604231;516.580017;46.439999;128.910004;142.210007;96.870003
2022-01-20;173.570007;20.407854;510.850006;45.75;128.449997;142.240005;95.720001
2022-01-21;172.649994;20.098186;499.910004;44.919998;126.910004;142.259995;96.309998
2022-01-24;172.800003;19.89426;519.659973;44.549999;127.18;140.479996;98.099998
2022-01-25;173.75;20;502.720001;45.43;132.589996;142.389999;97.010002
2022-01-26;169.300003;18.31571;500.809998;45.900002;132.690002;144.820007;95.580002
2022-01-27;170.160004;18.217524;493.049988;45.470001;135.369995;137.25;95.32
2022-01-28;163.100006;19.040785;518.159973;45.869999;130.610001;143.389999;97.209999
2022-01-31;166.020004;19.259819;534.299988;46.139999;131.330002;145.110001;98.32
2022-02-01;167.429993;18.444109;535.97998;46.939999;134.789993;145.720001;98.760002
2022-02-02;166.660004;18.534742;533.090027;46.889999;135.410004;144.589996;97.730003
2022-02-03;164.389999;18.549849;510.829987;46.43;134.199997;144.149994;95.940002
2022-02-04;160.729996;18.187311;513.539978;48.279999;135.880005;145.5;95
2022-02-07;161.169998;18.074018;507.100006;48.509998;138.550003;148.639999;95.190002
2022-02-08;162.410004;18.081572;511.309998;49.380001;136.440002;153.380005;94.919998
2022-02-09;163.639999;18.504532;521.75;49.279999;137.789993;153.139999;97.129997
2022-02-10;159.740005;18.31571;495.019989;49.049999;136.039993;154.199997;95.309998
2022-02-11;159.539993;18.225077;473.970001;47.919998;138.809998;149.529999;93.730003
2022-02-14;158.009995;18.164654;474.01001;47.419998;136.669998;151.429993;93.650002
2022-02-15;157.339996;18.383686;479.5;47.790001;134.259995;158;94.510002
2022-02-16;155.630005;18.081572;477.700012;47.68;134.300003;156.339996;95.18
2022-02-17;148.639999;17.94562;457.709991;46.07;133.610001;153.039993;93.050003
2022-02-18;147.619995;18.028702;442.559998;45.959999;133.419998;150.410004;93.339996
2022-02-22;146.75;17.938066;438.399994;45.560001;132.399994;147.160004;93.110001
2022-02-23;144.380005;17.756798;429.450012;44.779999;135.550003;143.369995;89.650002
2022-02-24;143.699997;17.545317;463.820007;43.599998;134.850006;146.089996;91.010002
2022-02-25;150.509995;18.058912;465.540009;45.02;140.380005;150.669998;92.580002
2022-02-28;148.649994;17.89275;467.679993;44.200001;144;148.860001;91.790001
2022-03-01;144.75;17.771902;466.679993;42.470001;149.720001;142.169998;90.139999
2022-03-02;147.220001;17.990936;471.179993;43.16;154.139999;145.910004;92.769997
2022-03-03;148.300003;18.058912;459.079987;42.490002;156.220001;142.009995;91.529999
2022-03-04;146.729996;18.028702;452.130005;40.950001;158.649994;137.669998;90.029999
2022-03-07;143.279999;17.802114;437.970001;38.34;162.039993;129.089996;84.459999
2022-03-08;145.399994;17.371601;431.529999;38.59;170.529999;133.919998;84
2022-03-09;146.600006;17.567976;450.869995;41.040001;166.270004;138.520004;87.599998
2022-03-10;143.929993;17.515106;438.950012;40.669998;170.820007;142.940002;87.160004
2022-03-11;140.960007;17.515106;416.380005;40.330002;170.899994;141.770004;82.730003
2022-03-14;143.479996;17.288521;411.5;41.200001;166.720001;141.559998;79.290001
2022-03-15;144.309998;17.439577;421.660004;41.5;158.279999;144.240005;83.120003
2022-03-16;145.509995;17.515106;442.359985;42.799999;157.710007;150.789993;87.410004
2022-03-17;147.690002;17.515106;444.359985;43.029999;160.440002;151.139999;87.660004
2022-03-18;148.320007;17.537764;453.329987;42.900002;161.729996;151.789993;89.599998
2022-03-21;148.580002;17.492447;453.589996;42.84;164.639999;150.350006;86.860001
2022-03-22;149.940002;17.53021;466.450012;44.18;164.089996;151.419998;87.889999
2022-03-23;147.679993;17.53021;422.899994;43.09;165.860001;148.410004;86.220001
2022-03-24;148.979996;17.620846;432.140015;43.07;166.300003;151.889999;87.120003
2022-03-25;150.460007;18.006042;431.619995;43.73;169.309998;151.5;87.449997
2022-03-28;149.470001;18.028702;450.01001;43.549999;166.350006;150.679993;88.379997
2022-03-29;152.080002;18.119335;466.329987;43.439999;164.320007;155.309998;91.230003
2022-03-30;151.429993;18.232628;460.059998;43;165.479996;153.149994;91.029999
2022-03-31;148.880005;17.847431;455.619995;41.220001;162.830002;151.740005;90.970001
2022-04-01;149.690002;18.111782;458.190002;40.900002;164.220001;150.710007;91.489998
2022-04-04;149.529999;18.26284;468.809998;40.830002;164.369995;152.339996;88.089996
2022-04-05;148.899994;18.043806;458.579987;40.139999;163.360001;151.550003;84.120003
2022-04-06;150.300003;18.149548;444.329987;39.700001;164.809998;145.610001;83.360001
2022-04-07;149.949997;17.92296;452.720001;39.389999;167.100006;145.550003;83.120003
2022-04-08;149.809998;18.232628;445.339996;39.669998;169.929993;145.479996;81.519997
2022-04-11;150.119995;19.629999;434.440002;39.59;165.559998;143.699997;80.68
2022-04-12;148.580002;19.559999;426.769989;39.169998;169.009995;144.880005;79.790001
2022-04-13;148.660004;19.42;431.670013;38.82;171.669998;153.929993;80.919998
2022-04-14;147.380005;19.540001;420.440002;37.57;171.589996;155.580002;79.5
2022-04-18;146.179993;19.459999;425.470001;38.849998;173.889999;156.570007;79.599998
2022-04-19;150.100006;19.49;436.399994;39.57;171.830002;163.139999;81.220001
2022-04-20;150.589996;19.43;428.109985;39.66;172.529999;162.910004;80.169998
2022-04-21;151.770004;20.209999;417.480011;38.91;164.580002;156.960007;78.959999
2022-04-22;149.169998;19.52;408.670013;37.560001;160.949997;153.350006;77.919998
2022-04-25;148.600006;19.51;413.950012;37.290001;157.490005;155.940002;77.980003
2022-04-26;144.220001;19.299999;399.119995;36.450001;156.529999;151.720001;75.629997
2022-04-27;144.210007;19.87;397.899994;36.25;156.240005;157.059998;74.739998
2022-04-28;147.139999;19.42;410.529999;36.810001;161.789993;161.220001;76.580002
2022-04-29;144.220001;18.860001;395.950012;35.68;156.669998;155.289993;74.639999
2022-05-02;145.910004;19.120001;407.290009;36.139999;159.75;155.410004;75.370003
2022-05-03;148.080002;19.33;407.579987;37.130001;162.490005;148.960007;74.330002
2022-05-04;154.229996;19.950001;423.350006;38.619999;167.589996;151.389999;81.639999
2022-05-05;149.460007;19.950001;400.51001;37.540001;166.259995;149.889999;77.480003
2022-05-06;149.529999;20.030001;391.01001;37.450001;170.690002;143.479996;76.519997
2022-05-09;152.380005;19.549999;376.910004;36.369999;159.25;133.309998;73.489998
2022-05-10;149.119995;19.360001;393.029999;35.759998;160.779999;137.789993;71.860001
2022-05-11;146.410004;19.43;379.329987;35.57;163.160004;134.509995;70.059998
2022-05-12;149.589996;19.719999;388.48999;35.07;164.710007;132.429993;69.900002
2022-05-13;149.300003;19.84;405.450012;35.169998;167.869995;136.589996;75.599998
2022-05-16;150.5;20.280001;402.859985;34.810001;173.009995;132.850006;72.419998
2022-05-17;152.339996;20.57;409.649994;35.990002;174.029999;135.080002;73.720001
2022-05-18;148.929993;20.23;397.880005;34.880001;168.059998;128.660004;71.279999
2022-05-19;146.960007;20.209999;394.380005;34.450001;166.860001;131.710007;71.93
2022-05-20;143.830002;21.1655;399.089996;33.860001;167.820007;130.279999;73.389999
2022-05-23;144.380005;20.74;406.76001;35.869999;171.720001;132.350006;73.419998
2022-05-24;145.75;21.16;398.410004;35.650002;172.639999;128.279999;72.720001
2022-05-25;145.789993;21.299999;402.5;35.84;175.410004;131.740005;72.480003
2022-05-26;147.039993;21.32;408.600006;36.669998;176.589996;138.470001;74.489998